Security Code,Issuer Name,Security Id,Security Name,Sector Name
514336,GENESIS IBRC INDIA LIMITED,GENESIS,Genesis Ibrc India Ltd,Healthcare
514354,Premier Polyfilm Ltd.,PREMIERPOL,PREMIER POLYFILM LTD.,Industrials
514358,EVERLON FINANCIALS LIMITED,EVERFIN,Everlon Financials Ltd,Financial Services
514360,K&R RAIL ENGINEERING LIMITED,KRRAIL,K&R Rail Engineering Ltd,Industrials
514378,Yarn Syndicate Ltd.,YARNSYN,YARN SYNDICATE LTD.,Services
514386,Gujarat Cotex Ltd,GUJCOTEX,GUJARAT COTEX LTD.,Consumer Discretionary
514400,Garware Synthetics Ltd.,GARWSYN,GARWARE SYNTHETICS LTD.,Services
514412,SARUP INDUSTRIES LIMITED,SARUPINDUS,SARUP INDUSTRIES LTD.-$,Consumer Discretionary
514418,Mangalam Organics Limited,MANORG,Mangalam Organics Limited,Commodities
514428,Hindustan Adhesives Ltd.,HINDADH,HINDUSTAN ADHESIVES LTD.,Industrials
514442,Sri KPR Industries Ltd,SRIKPRIND,SRI KPR INDUSTRIES LTD.,Industrials
514448,"Jyoti Resins & Adhesives Ltd,",JYOTIRES,JYOTI RESINS & ADHESIVES LTD.,Commodities
514450,Mahalaxmi Rubtech Ltd.,MHLXMIRU,MAHALAXMI RUBTECH LTD.,Consumer Discretionary
514454,Southern Latex Ltd.,SOUTLAT,SOUTHERN LATEX LTD.,Consumer Discretionary
514470,Winsome Textile Industries Ltd,WINSOMTX,WINSOME TEXTILE INDUSTRIES LTD.-$,Consumer Discretionary
515008,"Modern Insulators Ltd.,",MODINSU,MODERN INSULATORS LTD.,Industrials
515018,Regency Ceramics Ltd,REGENCERAM,REGENCY CERAMICS LTD.,Consumer Discretionary
515030,Asahi India Glass Ltd.,ASAHIINDIA,ASAHI INDIA GLASS LTD.,Consumer Discretionary
515037,"Murudeshwar Ceramics Ltd.,",MURUDCERA,MURUDESHWAR CERAMICS LTD.,Consumer Discretionary
515043,Saint-Gobain Sekurit India Ltd.,SAINTGOBAIN,SAINT-GOBAIN SEKURIT INDIA LTD.,Consumer Discretionary
515055,Anant Raj Limited,ANANTRAJ,Anant Raj Limited-$,Consumer Discretionary
515059,"Madhusudan Industries Ltd.,",MADHUDIN,MADHUSUDAN INDUSTRIES LTD.,Fast Moving Consumer Goods
515085,Restile Ceramics Ltd.,RESTILE,RESTILE CERAMICS LTD.,Consumer Discretionary
515093,"Madhav Marbles & Granites Ltd.,",MADHAV,MADHAV MARBLES & GRANITES LTD.,Consumer Discretionary
515127,Ramasigns Industries Limited,RAMASIGNS,Ramasigns Industries Ltd,Services
